Code_INSEE;Code_Postal;Commune;Departement;Region;Latitude;Longitude
75112;75012;PARIS-12E-ARRONDISSEMENT;PARIS;ILE-DE-FRANCE;48.83515623066034;2.419807034965275
12298;12580;VILLECOMTAL;AVEYRON;MIDI-PYRENEES;44.54328781651465;2.575486379154007
63042;63112;BLANZAT;PUY-DE-DOME;AUVERGNE;45.82746187009913;3.073315724607759
32364;32700;SAINT-AVIT-FRANDAT;GERS;MIDI-PYRENEES;43.983384443719565;0.6604369830622591
89100;89690;CHEROY;YONNE;BOURGOGNE;48.20162477372827;3.006973195618548
90001;90400;ANDELNANS;TERRITOIRE DE BELFORT;FRANCHE-COMTE;47.603165531591756;6.865698319959576
31361;31410;MONTAUT;HAUTE-GARONNE;MIDI-PYRENEES;43.34556909985021;1.310666408333869
41025;41250;BRACIEUX;LOIR-ET-CHER;CENTRE;47.55134398229205;1.5435374570012041
7229;7200;SAINT-DIDIER-SOUS-AUBENAS;ARDECHE;RHONE-ALPES;44.61175953274792;4.420227190510796
45157;45300;GIVRAINES;LOIRET;CENTRE;48.151016095101646;2.382454387863467
30190;30570;NOTRE-DAME-DE-LA-ROUVIERE;GARD;LANGUEDOC-ROUSSILLON;44.05929661018787;3.715769055836043
14293;14590;FUMICHON;CALVADOS;BASSE-NORMANDIE;49.17024010969014;0.37668081475185905
40276;40550;SAINT-MICHEL-ESCALUS;LANDES;AQUITAINE;43.88162112811084;-1.25173443273525
9216;9240;NESCUS;ARIEGE;MIDI-PYRENEES;42.9917806970511;1.435311539380094
32329;32390;PRECHAC;GERS;MIDI-PYRENEES;43.79375935532096;0.571624025704752
62004;62217;ACHICOURT;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;50.27228312804875;2.756146342714149
50138;50700;COLOMBY;MANCHE;BASSE-NORMANDIE;49.45414931682224;-1.48894916303505
6046;6670;COLOMARS;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;43.75942341873688;7.222632498489938
50602;50110;TOURLAVILLE;MANCHE;BASSE-NORMANDIE;49.63908453217769;-1.569168052591779
38539;38390;VERTRIEU;ISERE;RHONE-ALPES;45.8703431975942;5.364966869832592
74225;74150;RUMILLY;HAUTE-SAVOIE;RHONE-ALPES;45.85551266514948;5.940752874316763
68255;68250;PFAFFENHEIM;HAUT-RHIN;ALSACE;47.99571504019605;7.259871672233509
49265;49190;SAINT-AUBIN-DE-LUIGNE;MAINE-ET-LOIRE;PAYS DE LA LOIRE;47.32117592869444;-0.677052063732523
88085;88640;CHAMPDRAY;VOSGES;LORRAINE;48.128165931852784;6.7599815473862614
87152;87510;SAINT-JOUVENT;HAUTE-VIENNE;LIMOUSIN;45.956618400263366;1.209812361005463
80419;80500;HARGICOURT;SOMME;PICARDIE;49.713508478543545;2.520452318554789
14371;14140;LIVAROT;CALVADOS;BASSE-NORMANDIE;49.00515969903025;0.16598094062479601
14074;14370;BILLY;CALVADOS;BASSE-NORMANDIE;49.088823085354896;-0.19495647562331603
53178;53360;PEUTON;MAYENNE;PAYS DE LA LOIRE;47.88917068310099;-0.813068776888719
33117;33790;CAZAUGITAT;GIRONDE;AQUITAINE;44.715229517402754;0.011130912213456001
31103;31310;CANENS;HAUTE-GARONNE;MIDI-PYRENEES;43.21653301382803;1.332720508851665
55381;55140;NEUVILLE-LES-VAUCOULEURS;MEUSE;LORRAINE;48.576546996718804;5.655807572962315
21690;21350;VILLEBERNY;COTE-D'OR;BOURGOGNE;47.436193117214295;4.600702772033463
29030;29233;CLEDER;FINISTERE;BRETAGNE;48.66054391469496;-4.124473338571439
63447;63330;VERGHEAS;PUY-DE-DOME;AUVERGNE;46.02444932528309;2.6223313576113343
